Place,Lat,Long,min,avg,max
Ife grand resort,7.493055556,4.483888889,78.3,81.8,86.2
Tollgate,7.493611111,4.492222222,67.9,89.4,91.1
Powerline junction,7.496388889,4.505,69.1,88.5,92.1
Secretariete ife,7.496111111,4.516666667,82.2,90.2,92.7
Glory to glory,7.491388889,4.528055556,77.2,89.2,94.8
Babcock Uni Med Tre,7.488888889,4.540833333,83.3,90.6,95.3
Sabo bus stop,7.491388889,4.556111111,80.8,91.9,93.3
More  Police Station,7.490833333,4.566666667,87.5,90.6,93.9
Ide ade junction,7.483888889,4.562777778,87.3,92.8,95.3
St peters cathedral,7.496388889,4.555277778,67.4,89.8,94.5
Lagere Zenith Bank,7.487222222,4.545,82.5,88,92.8
OAUTHC (Phase 1),7.502452,4.571802,67,81,87
Modomo Zone 4,7.489194,4.552503,52,76,90
Oduduwa University Round about,7.499377,4.452532,43,62,94
Nitel Junction,7.4891,4.533877,46,73,84
Mainfare round about,7.489325,4.532648,60,72,80
Oduduwa University campus,7.50033,4.45272,37,60,92
OAU Bus Station,7.495977,4.521738,48,75,94
Eleweeran Junction,7.5121,4.4906,28,58,81
Lagere Post Office,7.485126,4.547831,42,77,110
Ooni if ife palace,7.4838,4.56191,42,73,115
Parakin junction,7.29117,4.311909,73,83,112
Bridge,7.499664,4.523322,70.6,83.4,89
OAU Gate,7.497428,4.522239,8.4,80.9,93.2
