"DateTime","Average","Credlekatampeabj A"
"2023-03-25 16:10:00",132.4,75
"2023-03-25 16:20:00",,76
"2023-03-25 16:30:00",,79
"2023-03-25 16:40:00",,78
"2023-03-25 16:50:00",,76
"2023-03-25 17:00:00",,78
"2023-03-25 17:10:00",,75
"2023-03-25 17:20:00",,75
"2023-03-25 17:30:00",,76
"2023-03-25 17:40:00",,89
"2023-03-25 17:50:00",,92
"2023-03-25 18:00:00",,98
"2023-03-25 18:10:00",,108
"2023-03-25 18:20:00",,122
"2023-03-25 18:30:00",,138
"2023-03-25 18:40:00",,148
"2023-03-25 18:50:00",,168
"2023-03-25 19:00:00",,177
"2023-03-25 19:10:00",,175
"2023-03-25 19:20:00",,172
"2023-03-25 19:30:00",,169
"2023-03-25 19:40:00",,165
"2023-03-25 19:50:00",,161
"2023-03-25 20:00:00",,159
"2023-03-25 20:10:00",,158
"2023-03-25 20:20:00",,158
"2023-03-25 20:30:00",,157
"2023-03-25 20:40:00",,156
"2023-03-25 20:50:00",,156
"2023-03-25 21:00:00",,154
"2023-03-25 21:10:00",,154
"2023-03-25 21:20:00",,153
"2023-03-25 21:30:00",,153
"2023-03-25 21:40:00",,152
"2023-03-25 21:50:00",,152
"2023-03-25 22:00:00",,151
"2023-03-25 22:10:00",,149
"2023-03-25 22:20:00",,146
"2023-03-25 22:30:00",,138
"2023-03-25 22:40:00",,139
"2023-03-25 22:50:00",,135
"2023-03-25 23:00:00",,130
"2023-03-25 23:10:00",,128
"2023-03-25 23:20:00",,131
"2023-03-25 23:30:00",,128
"2023-03-25 23:40:00",,127
"2023-03-25 23:50:00",,126
"2023-03-26 00:00:00",,126
"2023-03-26 00:10:00",,126
"2023-03-26 00:20:00",,126
"2023-03-26 00:30:00",,124
"2023-03-26 00:40:00",,123
"2023-03-26 00:50:00",,128
"2023-03-26 01:00:00",,125
"2023-03-26 01:10:00",,122
"2023-03-26 01:20:00",,121
"2023-03-26 01:30:00",,121
"2023-03-26 01:40:00",,120
"2023-03-26 01:50:00",,124
"2023-03-26 02:00:00",,120
"2023-03-26 02:10:00",,122
"2023-03-26 02:20:00",,122
"2023-03-26 02:30:00",,120
"2023-03-26 02:40:00",,120
"2023-03-26 02:50:00",,119
"2023-03-26 03:00:00",,121
"2023-03-26 03:10:00",,118
"2023-03-26 03:20:00",,121
"2023-03-26 03:30:00",,121
"2023-03-26 03:40:00",,121
"2023-03-26 03:50:00",,121
"2023-03-26 04:00:00",,121
"2023-03-26 04:10:00",,121
"2023-03-26 04:20:00",,114
"2023-03-26 04:30:00",,112
"2023-03-26 04:40:00",,109
"2023-03-26 04:50:00",,112
"2023-03-26 05:00:00",,110
"2023-03-26 05:10:00",,110
"2023-03-26 05:20:00",,110
"2023-03-26 05:30:00",,111
"2023-03-26 05:40:00",,108
"2023-03-26 05:50:00",,108
"2023-03-26 06:00:00",,107
"2023-03-26 06:10:00",,106
"2023-03-26 06:20:00",,104
"2023-03-26 06:30:00",,101
"2023-03-26 06:40:00",,98
"2023-03-26 06:50:00",,97
"2023-03-26 07:00:00",,95
"2023-03-26 07:10:00",,96
"2023-03-26 07:20:00",,97
"2023-03-26 07:30:00",,95
"2023-03-26 07:40:00",,96
"2023-03-26 07:50:00",,94
"2023-03-26 08:00:00",,94
"2023-03-26 08:10:00",,94
"2023-03-26 08:20:00",,95
"2023-03-26 08:30:00",,97
"2023-03-26 08:40:00",,101
"2023-03-26 08:50:00",,99
"2023-03-26 09:00:00",,100
"2023-03-26 09:20:00",,140
"2023-03-26 09:30:00",,130
"2023-03-26 09:40:00",,120
"2023-03-26 09:50:00",,112
"2023-03-26 10:00:00",,103
"2023-03-26 10:10:00",,99
"2023-03-26 10:20:00",,98
"2023-03-26 10:30:00",,96
"2023-03-26 10:40:00",,97
"2023-03-26 11:00:00",,96
"2023-03-26 14:50:00",,84
"2023-03-26 15:00:00",,83
"2023-03-26 15:10:00",,80
"2023-03-26 17:30:00",,85
"2023-03-26 17:40:00",,83
"2023-03-26 17:50:00",,210
"2023-03-26 18:00:00",,461
"2023-03-26 18:10:00",,466
"2023-03-26 18:20:00",,393
"2023-03-26 18:30:00",,389
"2023-03-26 18:40:00",,285
"2023-03-26 18:50:00",,257
"2023-03-26 19:00:00",,218
"2023-03-26 19:10:00",132.4,193
